Detector,Time,qPKW
10236V72161_4,2510,1
16219V72812_1,2510,1
21801V72158_1,2510,2
81077V72158_2,2510,1
04300V72813_3,2520,1
10236V72161_1,2520,1
10236V72161_3,2520,1
10236V72161_4,2520,1
16219V72812_1,2520,1
16219V72812_2,2520,2
21801V72158_1,2520,1
04300V72813_1,2530,1
10236V72161_1,2530,1
16219V72812_1,2530,1
81077V72158_3,2530,1
04300V72813_1,2540,1
10236V72161_1,2540,1
16219V72812_2,2540,2
21801V72158_1,2540,1
27372V72852_1,2540,1
16219V72812_2,2550,1
21801V72158_1,2550,1
21801V72158_2,2550,1
04300V72813_3,2560,1
10236V72161_1,2560,1
27372V72852_2,2560,1
04300V72813_3,2570,1
16219V72812_1,2570,1
27372V72852_2,2570,1
81077V72158_1,2570,1
81077V72158_2,2570,1
04300V72813_1,2580,1
10236V72161_2,2580,1
16219V72812_2,2580,1
21801V72158_1,2580,1
27372V72852_2,2580,1
04211V1677432_1,2590,1
10236V72161_4,2590,1
16219V72812_1,2590,1
16219V72812_2,2590,2
16219V72812_4,2590,1
21801V72158_1,2590,1
88356V72157_1,2590,1
21801V72158_1,2600,1
88356V72157_6,2600,1
04300V72813_1,2610,1
04300V72813_3,2610,1
16219V72812_2,2610,2
21801V72158_1,2610,1
27372V72852_1,2610,1
88356V72157_1,2610,1
04300V72813_3,2620,1
10236V72161_3,2620,1
16219V72812_2,2620,1
81077V72158_2,2620,1
81077V72158_3,2620,1
21801V72158_1,2630,1
04300V72813_1,2640,1
16219V72812_2,2640,1
21801V72158_1,2640,1
81077V72158_3,2640,1
04300V72813_3,2650,1
16219V72812_1,2650,1
16219V72812_2,2650,2
16219V72812_3,2650,1
21801V72158_1,2650,1
27372V72852_1,2650,1
04300V72813_3,2660,1
10236V72161_4,2660,1
21801V72158_1,2660,1
27372V72852_1,2660,1
88356V72157_4,2660,1
04211V1677432_2,2670,1
10236V72161_1,2670,1
10236V72161_4,2670,1
16219V72812_1,2670,1
81077V72158_2,2670,1
04300V72813_1,2680,1
10236V72161_3,2680,1
16219V72812_2,2680,1
27372V72852_2,2680,1
10236V72161_2,2690,1
10236V72161_2,2700,1
21801V72158_1,2700,1
21801V72158_2,2700,1
27372V72852_1,2700,1
88356V72157_6,2700,1
04300V72813_3,2710,1
10236V72161_4,2710,1
16219V72812_1,2710,2
27372V72852_1,2710,1
27372V72852_2,2710,1
81077V72158_4,2710,1
88356V72157_1,2710,1
88356V72157_4,2710,1
04300V72813_1,2720,1
04300V72813_3,2720,1
10236V72161_1,2720,1
10236V72161_2,2720,2
10236V72161_3,2720,1
16219V72812_1,2720,1
16219V72812_2,2720,1
21801V72158_2,2720,1
81077V72158_1,2720,1
81077V72158_2,2720,1
88356V72157_1,2720,1
10236V72161_1,2730,1
10236V72161_2,2730,1
10236V72161_3,2730,1
